date,sleep start,sleep end,total sleep hours,light sleep min,deep sleep min,rem sleep min,awake min,awakenings,energy level,productivity score,task completion rate,study duration min
2025-10-01,-,-,-,-,-,-,-,-,3,4,30,0
2025-10-02,12:02:00 AM,5:19:00 AM,5.17,2.4,1.38,1.35,0,0,3,6,40,20
2025-10-03,11:15:00 PM,7:45:00 AM,8.27,5.6,2.12,1.9,3,1,4,9,70,120
2025-10-04,10:11:00 PM,6:37:00 AM,8.26,5.42,1.33,1.11,0,0,5,7,50,40
2025-10-05,11:26:00 PM,6:22:00 AM,6.52,4.13,1.2,1.19,4,1,4,4,30,0
2025-10-06,11:36:00 PM,7:37:00 AM,8.1,4.33,1.59,1.29,0,0,4,9,90,120
2025-10-07,2:58:00 AM,9:21:00 AM,5.18,2.41,1.36,1.1,65,2,5,7,80,0
2025-10-08,1:32:00 AM,9:40:00 AM,7.12,4.5,1.48,1.19,56,2,4,8,80,60
2025-10-09,2:03:00 AM,8:30:00 AM,5.32,3.2,58,1.14,55,1,3,6,50,30
2025-10-10,-,-,-,-,-,-,-,-,2,4,30,0
2025-10-11,12:33:00 AM,5:29:00 AM,4.56,2.3,1.38,48,0,0,4,6,40,30
2025-10-12,2:46:00 AM,8:56:00 AM,5.48,3.23,1.11,1.14,22,4,3,9,100,120
2025-10-13,3:39:00 AM,6:54:00 AM,3.13,1.52,46,35,2,1,2,7,100,60
2025-10-14,-,-,-,-,-,-,-,-,3,10,100,180
2025-10-15,1:22:00 PM,5:36:00 PM,4.14,1.31,1.42,1.1,0,0,3,10,100,60
2025-10-16,2:48:00 AM,10:53:00 AM,8.5,4.15,1.5,2,0,0,4,8,90,0
2025-10-17,-,-,-,-,-,-,-,-,4,7,80,0
2025-10-18,2:04:00 AM,11:23:00 AM,9.17,3.55,3.15,2.7,2,2,4,7,70,30
2025-10-19,3:27:00 AM,12:19:00 PM,8.47,5.14,1.5,1.43,5,1,4,9,100,60
2025-10-20,11:40:00 AM,3:13:00 PM,3.18,1.39,1.03,36,15,1,2,4,30,0
2025-10-21,4:43:00 AM,10:44:00 AM,5.59,3.37,1.15,1.07,2,2,3,8,100,180
2025-10-22,5:14:00 AM,7:30:00 AM,2.11,0,0,0,0,0,1,6,50,60
2025-10-23,-,-,-,-,-,-,-,-,1,3,80,120
2025-10-24,6:13:00 AM,12:16:00 PM,6.3,4.2,1.15,46,10,3,3,4,50,30
2025-10-25,-,-,-,-,-,-,-,-,3,8,100,360
2025-10-26,4:46:00 AM,3:10:00 PM,10.22,6.43,2.17,1.22,1,1,4,7,100,30
2025-10-27,6:41:00 AM,2:48:00 PM,8.7,5.16,1.26,1.25,0,0,5,8,90,0
2025-10-28,6:58:00 AM,1:39:00 PM,6.39,4.34,1.08,57,2,2,3,5,55,0
2025-10-29,2:33:00 AM,10:00:00 AM,7.22,3.43,2.12,1.27,4,2,4,6,70,0
2025-10-30,6:58:00 AM,1:46:00 PM,6.48,2.19,2.3,1.59,0,0,4,5,40,30
2025-10-31,-,-,-,-,-,-,-,-,2,2,-,0
2025-11-01,1:15:00 AM,6:45:00 AM,5.3,2.2,1.59,1.11,0,0,3,4,50,25
2025-11-02,-,-,-,-,-,-,-,-,3,4,55,0
2025-11-03,-,-,-,-,-,-,-,-,2,5,70,0
2025-11-04,3:37:00 AM,4:37:00 PM,9.13,4.5,2.46,1.37,3.45,2,3,8,80,60
2025-11-05,-,-,-,-,-,-,-,-,4,10,100,60
